node_idx,xgb_score,tgn_score,dyg_score,ensemble_score,risk_level
0,0.8156647,1.0,0.89315367,0.9019609,HIGH
1,0.8112276,1.0,0.89309317,0.9006056,HIGH
2,0.8142168,1.0,0.8926254,0.9013152,HIGH
3,0.8337171,1.0,0.8912209,0.9066036,HIGH
4,0.7882686,1.0,0.8905447,0.8926985,HIGH
5,0.82469016,1.0,0.8915636,0.9040325,HIGH
6,0.8262128,1.0,0.891532,0.90447664,HIGH
7,0.83312804,1.0,0.89150214,0.9065393,HIGH
8,0.82184196,1.0,0.8908532,0.9028939,HIGH
9,0.78911656,1.0,0.8905352,0.8929491,HIGH
10,0.81588787,1.0,0.89133984,0.90130234,HIGH
11,0.82574946,1.0,0.89100075,0.90412515,HIGH
12,0.80745786,1.0,0.89201254,0.8990424,HIGH
13,0.82916576,1.0,0.88984877,0.90468925,HIGH
14,0.8253097,1.0,0.88248855,0.9005884,HIGH
15,0.5646665,0.67996186,0.760136,0.6774429,MEDIUM
16,0.3030045,0.21305382,0.9921331,0.55167073,MEDIUM
17,0.39181042,0.41651955,0.77856725,0.5539259,MEDIUM
18,0.40675735,0.6306982,0.94011265,0.6872817,MEDIUM
19,0.383399,0.4701189,0.7732884,0.5653708,MEDIUM
20,0.43321067,0.57723343,0.7781519,0.61439407,MEDIUM
21,0.33113512,0.3747817,0.7303586,0.5039185,MEDIUM
22,0.49348968,0.45682102,0.988076,0.6803236,MEDIUM
23,0.3276276,0.2438609,0.68728817,0.44636184,LOW
24,0.0035342602,0.013814983,0.030734578,0.017498605,LOW
25,0.33582982,0.513037,0.9925989,0.65169966,MEDIUM
26,0.37049806,0.3763812,0.99323833,0.6213591,MEDIUM
27,0.35008425,0.29130504,0.68760204,0.46745762,LOW
28,0.52294743,0.8450044,0.9941444,0.8080433,HIGH
29,0.07504496,0.12264363,0.59003234,0.2953195,LOW
30,0.2621672,0.32864913,0.7222867,0.46615958,LOW
31,0.017713277,0.007175744,0.44587243,0.18581568,LOW
32,0.32490295,0.239996,0.5754612,0.39965415,LOW
33,0.357962,0.4024197,0.6616357,0.4927688,LOW
34,0.32054403,0.30065256,0.63137686,0.43890974,LOW
35,0.28155664,0.31327528,0.56056756,0.40267658,LOW
36,0.24966995,0.34357464,0.7049069,0.45993614,LOW
37,0.20465314,0.20181032,0.5459169,0.3403058,LOW
38,0.27379212,0.2354779,0.6106414,0.39703757,LOW
39,0.31085056,0.293095,0.6623677,0.44613075,LOW
